管理番号,管理名称,管理担当部課名,組織管理区分１名,利用者名,設置場所,設置場所詳細
09L1019280,ＨＯ－１０１－１－＜Ｄ＞ＩＢＳ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,ドコモ管理,,,
09M1019281,ＨＯ－１０１－１－＜Ｄ＞ＩＢＳ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,ドコモ管理,,,
09M1022120,ＨＯ－１０１－１＜Ｄ＞ＩＢＳ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,ドコモ管理,,,
09M10N5420,自動ﾄﾗﾋｯｸ監視ﾂｰﾙ(ﾗｲｾﾝｽ1),無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
09N1022121,ＨＯ－１０１－１＜Ｄ＞ＩＢＳ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,ドコモ管理,,,
09N10N5421,自動ﾄﾗﾋｯｸ監視ﾂｰﾙ(ﾗｲｾﾝｽ2),無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
09P10N5422,自動ﾄﾗﾋｯｸ監視ﾂｰﾙ(ﾗｲｾﾝｽ2),無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
09V1022117,ＨＯ－１０１－１＜Ｄ＞ＩＢＳ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,ドコモ管理,,,
09V10N5427,自動ﾄﾗﾋｯｸ監視ﾂｰﾙ(Office2003),無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
09W1022118,ＨＯ－１０１－１＜Ｄ＞ＩＢＳ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,ドコモ管理,,,
09X1022119,ＨＯ－１０１－１＜Ｄ＞ＩＢＳ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,ドコモ管理,,,
09X10N5419,自動ﾄﾗﾋｯｸ監視ﾂｰﾙ(ｿﾌﾄｳｪｱ),無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
16TA084942,自動ﾄﾗﾋｯｸ監視ﾂｰﾙ(ｿﾌﾄｳｪｱ),無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
171A3V6729,HP製ARTsサーバ-L45,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
17SA3V6730,HP製ARTsサーバ-L46,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
17TA3V6731,HP製ARTsサーバ-L47,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
17UA3V6732,HP製ARTsサーバ-L48,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
17VA3V6733,HP製ARTsサーバ-L49,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
17WA3V6734,HP製ARTsサーバ-L50,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
17XA3V6735,HP製ARTsサーバ-L51,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
17YA3V6736,HP製ARTsサーバ-L52,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
17ZA3V6737,HP製ARTsサーバ-L53,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
18PA255600,2-WN201電源設備工事,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
18TA255603,ANNEX-Lフロア電源工事,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
18WA255606,ANNEX-L電力設備工事,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
18YA255598,2-WN201収容棚工事,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
18ZA255599,2-WN201フロア電源工事,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
190A1T3178,安定化電源(800W),無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
191A1T3179,安定化電源(800W),無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
19KA505450,eNB(HD)_18B呼処理ソフトウェア(,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
19LA505451,eNB(マクロ)18B呼処理ソフトウェ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
19MA505452,eNB呼処理ﾛｸﾞﾃﾞｺｰﾄﾞﾂｰﾙ（18B）(I,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
19NA505453,eNBシナリオ作成ツール（18B）(I,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
